id,events_no,start,start_time,team1_id,team2_id,name,team1_score,team2_score,betDone,gameDone
931,1,2021-07-25,20:00,1,11,강원 vs 제주,0,0,FALSE,FALSE
932,1,2021-07-30,20:00,2,5,광주 vs 성남,0,0,FALSE,FALSE
933,1,2021-07-31,20:00,4,8,서울 vs 울산,0,0,FALSE,FALSE
934,1,2021-07-31,20:00,11,9,제주 vs 인천,0,0,FALSE,FALSE
935,1,2021-07-31,20:00,7,10,수원FC vs 전북,0,0,FALSE,FALSE
936,1,2021-08-01,20:00,3,12,대구 vs 포항,0,0,FALSE,FALSE
937,1,2021-08-01,20:00,1,6,강원 vs 수원,0,0,FALSE,FALSE
938,1,2021-08-06,19:00,10,3,전북 vs 대구,0,0,FALSE,FALSE
939,1,2021-08-07,20:00,8,1,울산 vs 강원,0,0,FALSE,FALSE
940,1,2021-08-07,20:00,6,11,수원 vs 제주,0,0,FALSE,FALSE
941,1,2021-08-07,20:00,5,12,성남 vs 포항,0,0,FALSE,FALSE
942,1,2021-08-08,20:00,4,2,서울 vs 광주,0,0,FALSE,FALSE
943,1,2021-08-08,20:00,9,7,인천 vs 수원FC,0,0,FALSE,FALSE
944,1,2021-08-10,19:00,11,10,제주 vs 전북,0,0,FALSE,FALSE
945,1,2021-08-10,19:30,5,8,성남 vs 울산,0,0,FALSE,FALSE
946,1,2021-08-10,19:30,3,6,대구 vs 수원,0,0,FALSE,FALSE
947,1,2021-08-11,19:00,1,4,강원 vs 서울,0,0,FALSE,FALSE
948,1,2021-08-11,19:30,7,2,수원FC vs 광주,0,0,FALSE,FALSE
949,1,2021-08-11,20:00,12,9,포항 vs 인천,0,0,FALSE,FALSE
950,1,2021-08-13,19:30,11,8,제주 vs 울산,0,0,FALSE,FALSE
951,1,2021-08-14,18:00,1,3,강원 vs 대구,0,0,FALSE,FALSE
952,1,2021-08-14,20:00,6,5,수원 vs 성남,0,0,FALSE,FALSE
953,1,2021-08-15,18:00,10,4,전북 vs 서울,0,0,FALSE,FALSE
954,1,2021-08-15,19:00,12,7,포항 vs 수원FC,0,0,FALSE,FALSE
955,1,2021-08-15,20:00,2,9,광주 vs 인천,0,0,FALSE,FALSE
956,1,2021-08-20,19:30,3,2,대구 vs 광주,0,0,FALSE,FALSE
957,1,2021-08-21,18:00,9,1,인천 vs 강원,0,0,FALSE,FALSE
958,1,2021-08-21,19:00,5,10,성남 vs 전북,0,0,FALSE,FALSE
959,1,2021-08-21,20:00,7,11,수원FC vs 제주,0,0,FALSE,FALSE
960,1,2021-08-22,18:00,4,12,서울 vs 포항,0,0,FALSE,FALSE
961,1,2021-08-22,20:00,8,6,울산 vs 수원,0,0,FALSE,FALSE
962,1,2021-08-24,19:00,2,5,광주 vs 성남,0,0,FALSE,FALSE
963,1,2021-08-24,20:00,1,11,강원 vs 제주,0,0,FALSE,FALSE
